index,name,name2,pos,sum,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,assists,goals,pim,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
8473503,James Reimer,"Reimer, James",G,0,2672:41,10.0,1.0,0.0,19.0,17.0,1321.0,173.0,29.0,1119.0,33.0,1231.0,186.0,0.911,2.896,48,46.0,1450.0,129.0,55:40,93.01075268817203,87.87878787878788,90.90170593013809,,,,,,,,,,,,,,,,,,,,,,,,
8474009,Nick Bonino,"Bonino, Nick",C,324,1335:59,,,,,,,,,,,,,,,80,,,,16:41,,,,10.0,16.0,18.0,137.0,34.0,3.0,7.0,147:48,1059:22,18,51.35,11.7,0.0,0.0,1.0,1.0,128:49,102.0,-25.0,26.0,1876.0,13:14,01:36,01:50
8474053,Logan Couture,"Couture, Logan",C,443,1457:49,,,,,,,,,,,,,,,77,,,,18:55,,,,33.0,23.0,18.0,199.0,92.0,5.0,17.0,190:26,1120:45,18,48.7,11.6,3.0,1.0,2.0,3.0,146:38,58.0,-11.0,56.0,2023.0,14:33,01:54,02:28
8474578,Erik Karlsson,"Karlsson, Erik",D,241,1173:31,,,,,,,,,,,,,,,50,,,,23:28,,,,25.0,10.0,14.0,117.0,18.0,0.0,10.0,141:57,957:23,14,0.0,8.5,2.0,1.0,0.0,0.0,74:11,45.0,-14.0,35.0,1389.0,19:08,01:29,02:50
8475461,Andrew Agozzino,"Agozzino, Andrew",LW,5,06:52,,,,,,,,,,,,,,,1,,,,06:52,,,,0.0,0.0,0.0,1.0,4.0,0.0,0.0,00:00,06:52,0,33.33,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,10.0,06:52,00:00,00:00
8476442,Matt Nieto,"Nieto, Matt",LW,261,1008:15,,,,,,,,,,,,,,,70,,,,14:24,,,,11.0,6.0,19.0,82.0,96.0,0.0,0.0,04:51,880:50,19,15.38,7.3,0.0,0.0,0.0,0.0,122:34,47.0,-20.0,17.0,1507.0,12:35,01:45,00:04
8476881,Tomas Hertl,"Hertl, Tomas",C,483,1635:06,,,,,,,,,,,,,,,82,,,,19:56,,,,34.0,30.0,30.0,205.0,105.0,6.0,16.0,204:34,1304:55,30,52.45,14.6,6.0,3.0,0.0,1.0,125:37,57.0,-9.0,64.0,2079.0,15:54,01:31,02:29
8476988,Matt Benning,"Benning, Matt",D,260,1061:55,,,,,,,,,,,,,,,65,,,,16:20,,,,11.0,0.0,39.0,61.0,82.0,0.0,0.0,02:05,917:25,39,0.0,0.0,0.0,0.0,0.0,0.0,142:25,67.0,-24.0,11.0,1491.0,14:06,02:11,00:01
8477034,Jaycob Megna,"Megna, Jaycob",D,227,841:18,,,,,,,,,,,,,,,44,,,,19:07,,,,6.0,2.0,16.0,40.0,71.0,0.0,0.0,01:35,755:22,16,0.0,5.0,0.0,0.0,0.0,0.0,84:21,92.0,-1.0,8.0,1142.0,17:10,01:55,00:02
8477180,Aaron Dell,"Dell, Aaron",G,0,565:23,1.0,0.0,0.0,1.0,8.0,316.0,32.0,12.0,272.0,13.0,297.0,44.0,0.893,4.0327,12,9.0,354.0,38.0,47:06,72.72727272727273,92.3076923076923,91.58249158249158,,,,,,,,,,,,,,,,,,,,,,,,
