index,name,name2,pos,team,sum,w,gaa,sp,wins,goalAgainstAverage,savePercentage,timeOnIce,ot,shutouts,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8479496,David Rittich,"Rittich, David",G,WPG,-0.8525203226911595,-0.486567604602248,-0.6249549039747864,0.2590021858858749,6,3.5726,0.886,822:56,4,0,0,3,382,50,8,324,9,361,61,17,12,431,49,48:24,81.9672131147541,88.88888888888889,89.75069252077562
8479574,Mikhail Berdin,"Berdin, Mikhail",G,WPG,-1.7629499590017221,-1.0042947109770537,2.3459963612913532,-3.1046516093160217,0,0.0,0.0,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8476903,Jon Gillies,"Gillies, Jon",G,ARI,-1.2155282750864065,-0.7454311577896509,-0.7328957521614137,0.2627986348646581,3,3.7024,0.887,1004:45,2,0,0,10,488,46,19,423,22,476,52,20,15,550,62,50:14,88.46153846153845,86.36363636363636,88.8655462184874
8478872,Karel Vejmelka,"Vejmelka, Karel",G,ARI,-0.290597942060649,0.11744735283502535,-0.7126048685269475,0.3045595736312731,13,3.678,0.898,2773:14,3,1,0,32,1499,219,37,1243,40,1371,258,52,49,1669,170,53:19,84.88372093023256,92.5,90.66374908825675
8476316,Laurent Brossoit,"Brossoit, Laurent",G,VGK,0.08363419128737196,-0.14141620035237754,-0.06811983505517405,0.29317022669492354,10,2.903,0.895,1281:26,3,1,0,9,526,69,14,443,16,487,85,24,21,588,62,53:23,81.17647058823529,87.5,90.96509240246407
8474636,Michael Hutchinson,"Hutchinson, Michael",G,VGK,-2.312603315900421,-1.0042947109770537,-1.4572137704245298,0.14890516550116265,0,4.5734,0.857,78:43,0,0,0,1,36,5,1,30,1,35,6,2,1,42,6,39:21,83.33333333333334,100.0,85.71428571428571
8475215,Robin Lehner,"Lehner, Robin",G,VGK,1.3139684370863467,0.9803258634597015,-0.005085040813676639,0.33872761444032173,23,2.8272,0.907,2546:39,2,1,0,17,1168,140,33,995,35,1090,163,44,44,1288,120,57:52,85.88957055214725,94.28571428571428,91.28440366972477
8478499,Adin Hill,"Hill, Adin",G,VGK,0.327472372807072,-0.14141620035237754,0.13395740769791098,0.33493116546153856,10,2.66,0.906,1375:57,1,2,0,11,587,65,20,502,24,547,77,25,22,648,61,55:02,84.4155844155844,83.33333333333334,91.77330895795247
8480238,Jiri Patera,"Patera, Jiri",G,VGK,-1.7629499590017221,-1.0042947109770537,2.3459963612913532,-3.1046516093160217,0,0.0,0.0,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8480313,Logan Thompson,"Thompson, Logan",G,VGK,0.34270896127064565,-0.14141620035237754,0.1188224043312192,0.365302757291804,10,2.6782,0.914,1097:44,3,1,0,5,520,52,13,455,15,494,60,19,17,569,49,57:46,86.66666666666667,86.66666666666667,92.10526315789474
8474889,Martin Jones,"Jones, Martin",G,SEA,-0.15881655713754284,0.03115950177255772,-0.50212853049894,0.31215247158883946,12,3.4249,0.9,1997:08,3,0,0,18,1027,125,36,866,39,956,146,35,33,1141,114,57:03,85.61643835616438,92.3076923076923,90.5857740585774
8475831,Philipp Grubauer,"Grubauer, Philipp",G,SEA,0.5353597689003167,0.5488866081473635,-0.2839183720692712,0.27039153282222445,18,3.1625,0.889,3111:25,5,2,0,31,1315,176,32,1107,34,1238,207,55,54,1479,164,56:34,85.02415458937197,94.11764705882352,89.41841680129241
8476433,Magnus Hellberg,"Hellberg, Magnus",G,SEA,-0.868532271127335,-0.9180068599145861,-0.1487844134380928,0.198259002225344,1,3.0,0.87,60:00,0,0,0,0,20,0,1,19,1,22,0,1,1,23,3,60:00,,100.0,86.36363636363636
8476904,Chris Driedger,"Driedger, Chris",G,SEA,-0.037114001277078756,-0.22770405141484515,-0.11776597247228991,0.3083560226100563,9,2.9627,0.899,1478:24,1,1,0,14,649,85,19,545,21,594,107,27,24,722,73,54:45,79.43925233644859,90.47619047619048,91.75084175084174
8478916,Joey Daccord,"Daccord, Joey",G,SEA,-2.1094923087584787,-1.0042947109770537,-1.2275276204311054,0.12233002264968036,0,4.2972,0.85,293:13,0,0,0,4,119,22,4,93,5,110,25,5,4,140,21,58:38,88.0,80.0,84.54545454545455
